,mp_name,p_name
1284,PCBs (as Arochlor 1254) Total,
1285,Chlordane (alpha+gamma),
1286,Chlordane (alpha+gamma),
1287,Chlordane (alpha+gamma),
1288,Chlordane (alpha+gamma),
1289,Chlordane (alpha+gamma),
1290,Chlordane (alpha+gamma),
1291,Chlordane (alpha+gamma),
1292,Chlordane (alpha+gamma),
1293,Chlordane (alpha+gamma),
1294,Chlordane (alpha+gamma),
1295,Chlordane (alpha+gamma),
1296,Chlordane (alpha+gamma),
1297,Chlordane (alpha+gamma),
1298,Chlordane (alpha+gamma),
1299,Chlordane (alpha+gamma),
1300,Chlordane (alpha+gamma),
1301,Chlordane (alpha+gamma),
1302,Chlordane (alpha+gamma),
1303,Chlordane (alpha+gamma),
1304,Chlordane (alpha+gamma),
1305,Chlordane (alpha+gamma),
1306,Chlordane (alpha+gamma),
1307,Chlordane (alpha+gamma),
1308,Chlordane (alpha+gamma),
1309,Chlordane (alpha+gamma),
1310,Chlordane (alpha+gamma),
1311,Chlordane (alpha+gamma),
1312,Chlordane (alpha+gamma),
1313,Chlordane (alpha+gamma),
1314,Chlordane (alpha+gamma),
1315,Chlordane (alpha+gamma),
1316,Chlordane (alpha+gamma),
1317,Chlordane (alpha+gamma),
1318,Chlordane (alpha+gamma),
1319,Chlordane (alpha+gamma),
1320,Chlordane (alpha+gamma),
1321,Chlordane (alpha+gamma),
1322,Chlordane (alpha+gamma),
1323,Chlordane (alpha+gamma),
1324,Chlordane (alpha+gamma),
1325,Chlordane (alpha+gamma),
1326,Chlordane (alpha+gamma),
1327,Chlordane (alpha+gamma),
1328,Chlordane (alpha+gamma),
1329,Chlordane (alpha+gamma),
1330,Chlordane (alpha+gamma),
1331,Chlordane (alpha+gamma),
1332,Chlordane (alpha+gamma),
1333,Chlordane (alpha+gamma),
1334,p-p'-DDD,
1335,p-p'-DDD,
1336,p-p'-DDD,
1337,p-p'-DDD,
1338,p-p'-DDD,
1339,p-p'-DDD,
1340,p-p'-DDD,
1341,p-p'-DDD,
1342,p-p'-DDD,
1343,p-p'-DDD,
1344,p-p'-DDD,
1345,p-p'-DDD,
1346,p-p'-DDD,
1347,p-p'-DDD,
1348,p-p'-DDD,
1349,p-p'-DDD,
1350,p-p'-DDD,
1351,p-p'-DDD,
1352,p-p'-DDD,
1353,p-p'-DDD,
1354,p-p'-DDD,
1355,p-p'-DDD,
1356,p-p'-DDD,
1357,p-p'-DDD,
1358,p-p'-DDD,
1359,p-p'-DDD,
1360,p-p'-DDD,
1361,p-p'-DDD,
1362,p-p'-DDD,
1363,p-p'-DDD,
1364,p-p'-DDD,
1365,p-p'-DDD,
1366,p-p'-DDD,
1367,p-p'-DDD,
1368,p-p'-DDD,
1369,p-p'-DDD,
1370,p-p'-DDD,
1371,p-p'-DDD,
1372,p-p'-DDD,
1373,p-p'-DDD,
1374,p-p'-DDD,
1375,p-p'-DDD,
1376,p-p'-DDD,
1377,p-p'-DDD,
1378,p-p'-DDD,
1379,p-p'-DDD,
