CSP_No,Common_Name,Genus,Species,Total Length (cm),Total Weight (g),Sex_Code,Maturity_Code,Composite_Count,Collection_Date,Collection_Year,Waterbody,Basin/Site,Latitude,Longitude,Province/State,Tissue_Code,Parameter_Code,Value,Value_Flag,Rep,Measurement_Date,Parameter_Group,Master_Parameter_Name,Parameter_name,Unit_Code,LOD,MDL - typical,Laboratory,Method_Code
58856,Lake Trout,Salvelinus,namaycush,71.7,4932.3,F,ADS,1,2012-05-22,2012,Great Bear Lake,Great Bear Lake,66.241197,-123.739014,NWT,WHA,"Chlorinated Alkanes, SC (C10-C13), Total ",50,L,1,2023-10-26,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
59969,Lake Trout,Salvelinus,namaycush,53.2,1683,M,ADS,1,2013-05-29,2013,Lake Huron,Southern Basin L Huron,43.75,-81.83333,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",86,,1,2018-02-08,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
59969,Lake Trout,Salvelinus,namaycush,53.2,1683,M,ADS,1,2013-05-29,2013,Lake Huron,Southern Basin L Huron,43.75,-81.83333,ON,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",5,BDL,1,2018-02-08,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
59971,Lake Trout,Salvelinus,namaycush,39.5,661,M,ADS,1,2013-05-29,2013,Lake Huron,Southern Basin L Huron,43.75,-81.83333,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",77,,1,2018-05-10,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
59971,Lake Trout,Salvelinus,namaycush,39.5,661,M,ADS,1,2013-05-29,2013,Lake Huron,Southern Basin L Huron,43.75,-81.83333,ON,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",20.6,,1,2018-05-10,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
59973,Lake Trout,Salvelinus,namaycush,55.1,1870.5,M,ADS,1,2013-05-29,2013,Lake Huron,Southern Basin L Huron,43.75,-81.83333,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",97.8,,1,2018-02-08,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
59973,Lake Trout,Salvelinus,namaycush,55.1,1870.5,M,ADS,1,2013-05-29,2013,Lake Huron,Southern Basin L Huron,43.75,-81.83333,ON,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",5,BDL,1,2018-02-08,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
59987,Lake Trout,Salvelinus,namaycush,47.8,1118,F,ADS,1,2013-06-05,2013,Lake Huron,Georgian Bay,44.7,-80.58333,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",99.2,,1,2018-02-08,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
59987,Lake Trout,Salvelinus,namaycush,47.8,1118,F,ADS,1,2013-06-05,2013,Lake Huron,Georgian Bay,44.7,-80.58333,ON,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",5,BDL,1,2018-02-08,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5,,NLET,B_ChlorinatedAlkanes_ISO
59988,Lake Trout,Salvelinus,namaycush,52,1450.6,M,ADS,1,2013-06-05,2013,Lake Huron,Georgian Bay,44.7,-80.58333,ON,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",110,,1,2018-05-10,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
