CSP_No,Common_Name,Genus,Species,Total Length (cm),Total Weight (g),Fork length (cm),Sex_Code,Maturity_Code,Composite_Count,Collection_Date,Collection_Year,Waterbody,Station_Name,Basin/Site,Latitude,Longitude,Province/State,Tissue_Code,Parameter_Code,Value,Value_Flag,Rep,Measurement_Date,Parameter_Group,Master_Parameter_Name,Parameter_name,Unit_Code,LOD,MDL - typical,Laboratory,Method_Code
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,4,6,7,8-HpCDD",2.54,T,1,2008-03-25,Dioxin,"1,2,3,4,6,7,8-heptachlorodioxin","1,2,3,4,6,7,8-heptachlorodioxin",PG/G,,0.112,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,4,6,7,8-HpCDF",1.13,,1,2008-03-25,Dioxin,"1,2,3,4,6,7,8-heptachlorofuran","1,2,3,4,6,7,8-heptachlorofuran",PG/G,,0.128,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,4,7,8,9-HpCDF",0.135,,1,2008-03-25,Dioxin,"1,2,3,4,7,8,9-heptachlorofuran","1,2,3,4,7,8,9-heptachlorofuran",PG/G,,0.107,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,4,7,8-HxCDD",0.593,,1,2008-03-25,Dioxin,"1,2,3,4,7,8-hexachlorodioxin","1,2,3,4,7,8-hexachlorodioxin",PG/G,,0.2,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,4,7,8-HxCDF",12.5,,1,2008-03-25,Dioxin,"1,2,3,4,7,8-hexachlorofuran","1,2,3,4,7,8-hexachlorofuran",PG/G,,0.075,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,6,7,8-HxCDD",2.89,,1,2008-03-25,Dioxin,"1,2,3,6,7,8-hexachlorodioxin","1,2,3,6,7,8-hexachlorodioxin",PG/G,,0.124,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,6,7,8-HxCDF",2.1,,1,2008-03-25,Dioxin,"1,2,3,6,7,8-hexachlorofuran","1,2,3,6,7,8-hexachlorofuran",PG/G,,0.086,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,7,8,9-HxCDD",0.507,,1,2008-03-25,Dioxin,"1,2,3,7,8,9-hexachlorodioxin","1,2,3,7,8,9-hexachlorodioxin",PG/G,,0.089,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,7,8,9-HxCDF",0.0963,L,1,2008-03-25,Dioxin,"1,2,3,7,8,9-hexachlorofuran","1,2,3,7,8,9-hexachlorofuran",PG/G,,0.093,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,7,8-PeCDD",3.4,,1,2008-03-25,Dioxin,"1,2,3,7,8-pentachlorodioxin","1,2,3,7,8-pentachlorodioxin",PG/G,,0.13,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"1,2,3,7,8-PeCDF",4.51,,1,2008-03-25,Dioxin,"1,2,3,7,8-pentachlorofuran","1,2,3,7,8-pentachlorofuran",PG/G,,0.096,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"2,3,4,6,7,8-HxCDF",1.12,,1,2008-03-25,Dioxin,"2,3,4,6,7,8-hexachlorofuran","2,3,4,6,7,8-hexachlorofuran",PG/G,,0.077,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"2,3,4,7,8-PeCDF",12.1,,1,2008-03-25,Dioxin,"2,3,4,7,8-pentachlorofuran","2,3,4,7,8-pentachlorofuran",PG/G,,0.102,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"2,3,7,8-TCDD",13.1,,1,2008-03-25,Dioxin,"2,3,7,8-tetrachlorodioxin","2,3,7,8-tetrachlorodioxin",PG/G,,0.043,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"2,3,7,8-TCDF",28.1,,1,2008-03-25,Dioxin,"2,3,7,8-tetrachlorofuran","2,3,7,8-tetrachlorofuran",PG/G,,0.027,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,"2,3,7,8-TCDF (225)",27.9,,1,2008-03-25,Dioxin,"2,3,7,8-TCDF (225)","2,3,7,8-TCDF (225)",PG/G,,,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,OCDD,1.61,T,1,2008-03-25,Dioxin,Octachlorodioxin,Octachlorodioxin,PG/G,,0.337,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,OCDF,0.286,T,1,2008-03-25,Dioxin,Octachlorofuran,Octachlorofuran,PG/G,,0.099,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,TEQ (WHO 1998 FISH) ND=0,26.1,,1,2008-03-25,Dioxin,TEQ (WHO 1998 FISH) ND=0,TEQ (WHO 1998 FISH) ND=0,PG/G-TEQ,,,AXYS,0
50977,Lake Trout,Salvelinus,namaycush,57.3,1924.4,53,M,ADS,1,2005-09-26,2005,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,TEQ (WHO 1998 FISH) ND=1/2DL,26.1,,1,2008-03-25,Dioxin,TEQ (WHO 1998 FISH) ND=1/2DL,TEQ (WHO 1998 FISH) ND=1/2DL,PG/G-TEQ,,,AXYS,0
