,CSP_No,Common_Name,Genus,Species,Total Length (cm),Total Weight (g),Sex_Code,Maturity_Code,Composite_Count,Collection_Date,Collection_Year,Waterbody,Station_Name,Basin/Site,Latitude,Longitude,Province/State,Tissue_Code,Parameter_Code,Value,Value_Flag,Rep,Measurement_Date,Parameter_Group,Master_Parameter_Name,Parameter_name,Unit_Code,LOD,MDL - typical,Laboratory,Method_Code
0,17741,Sea Lamprey,Petromyzon,marinus,54.1,421.3,F,ADS,1.0,2000-01-08,2000,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,TOX,0.00646,,1,,Organochlorine,Toxaphene,Toxaphene,UG/G wet,,0.001,ULTRA,
1,17744,Sea Lamprey,Petromyzon,marinus,68.2,544.4,M,ADS,1.0,2000-01-08,2000,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,TOX,0.0058,,1,,Organochlorine,Toxaphene,Toxaphene,UG/G wet,,0.001,ULTRA,
2,17741,Sea Lamprey,Petromyzon,marinus,54.1,421.3,F,ADS,1.0,2000-01-08,2000,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,TOX.PAR.11&12.MSD,0.2,L,1,,Organochlorine,"Toxaphene parlar 11,12",Toxaphene parlar 11 & 12,NG/G wet,0.2,,ULTRA,
3,17744,Sea Lamprey,Petromyzon,marinus,68.2,544.4,M,ADS,1.0,2000-01-08,2000,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,TOX.PAR.11&12.MSD,0.2,L,1,,Organochlorine,"Toxaphene parlar 11,12",Toxaphene parlar 11 & 12,NG/G wet,0.2,,ULTRA,
4,17741,Sea Lamprey,Petromyzon,marinus,54.1,421.3,F,ADS,1.0,2000-01-08,2000,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,TOX.PAR.15.MSD,0.2,L,1,,Organochlorine,Toxaphene Parlar 15,Toxaphene parlar 15,NG/G wet,0.2,,ULTRA,
5,17744,Sea Lamprey,Petromyzon,marinus,68.2,544.4,M,ADS,1.0,2000-01-08,2000,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,TOX.PAR.15.MSD,0.2,L,1,,Organochlorine,Toxaphene Parlar 15,Toxaphene parlar 15,NG/G wet,0.2,,ULTRA,
6,17741,Sea Lamprey,Petromyzon,marinus,54.1,421.3,F,ADS,1.0,2000-01-08,2000,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,TOX.PAR.21.MSD,0.2,L,1,,Organochlorine,Toxaphene Parlar 21,Toxaphene parlar 21,NG/G wet,0.2,,ULTRA,
7,17744,Sea Lamprey,Petromyzon,marinus,68.2,544.4,M,ADS,1.0,2000-01-08,2000,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,TOX.PAR.21.MSD,0.2,L,1,,Organochlorine,Toxaphene Parlar 21,Toxaphene parlar 21,NG/G wet,0.2,,ULTRA,
8,17741,Sea Lamprey,Petromyzon,marinus,54.1,421.3,F,ADS,1.0,2000-01-08,2000,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,TOX.PAR.25.MSD,0.2,L,1,,Organochlorine,Toxaphene Parlar 25,Toxaphene parlar 25,NG/G wet,0.2,,ULTRA,
9,17744,Sea Lamprey,Petromyzon,marinus,68.2,544.4,M,ADS,1.0,2000-01-08,2000,Lake Ontario,"Lake Ontario, Eastern Basin, Oswego NY",Eastern Basin L Ontario,43.5,-76.5,ON,WHA,TOX.PAR.25.MSD,0.2,L,1,,Organochlorine,Toxaphene Parlar 25,Toxaphene parlar 25,NG/G wet,0.2,,ULTRA,
