,CSP_No,Common_Name,Genus,Species,Total Length (cm),Total Weight (g),Sex_Code,Maturity_Code,Composite_Count,Collection_Date,Collection_Year,Waterbody,Basin/Site,Latitude,Longitude,Province/State,Tissue_Code,Parameter_Code,Value,Value_Flag,Rep,Measurement_Date,Parameter_Group,Master_Parameter_Name,Parameter_name,Unit_Code,LOD,MDL - typical,Laboratory,Method_Code
0,56773,Brook Trout,Salvelinus,fontinalis,22.0,101.8,M,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_MCCP,3.86366,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
1,56773,Brook Trout,Salvelinus,fontinalis,22.0,101.8,M,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_SCCP,6.22863,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
2,56774,Brook Trout,Salvelinus,fontinalis,26.8,178.7,M,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_MCCP,2.59354,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
3,56774,Brook Trout,Salvelinus,fontinalis,26.8,178.7,M,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_SCCP,2.02944,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
4,56776,Brook Trout,Salvelinus,fontinalis,27.7,182.8,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_SCCP,1.37845,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
5,56777,Brook Trout,Salvelinus,fontinalis,26.5,167.6,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_MCCP,1.87329,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
6,56777,Brook Trout,Salvelinus,fontinalis,26.5,167.6,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_SCCP,9.30065,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
7,56779,Brook Trout,Salvelinus,fontinalis,26.8,203.8,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.320078,-65.190325,NS,RWHA,Total_MCCP,8.83859,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
8,56779,Brook Trout,Salvelinus,fontinalis,26.8,203.8,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.320078,-65.190325,NS,RWHA,Total_SCCP,17.83275,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
9,56780,Brook Trout,Salvelinus,fontinalis,29.7,247.2,M,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.320078,-65.190325,NS,RWHA,Total_MCCP,14.06205,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
10,56780,Brook Trout,Salvelinus,fontinalis,29.7,247.2,M,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.320078,-65.190325,NS,RWHA,Total_SCCP,27.80871,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
11,56781,Brook Trout,Salvelinus,fontinalis,32.4,318.1,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.320078,-65.190325,NS,RWHA,Total_MCCP,1.67194,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
12,56781,Brook Trout,Salvelinus,fontinalis,32.4,318.1,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.320078,-65.190325,NS,RWHA,Total_SCCP,10.6405,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
13,56782,Brook Trout,Salvelinus,fontinalis,27.8,231.1,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_MCCP,1.25647,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
14,56782,Brook Trout,Salvelinus,fontinalis,27.8,231.1,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_SCCP,4.47392,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
15,56784,Brook Trout,Salvelinus,fontinalis,30.0,319.0,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_MCCP,7.29947,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
16,56784,Brook Trout,Salvelinus,fontinalis,30.0,319.0,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_SCCP,10.5298,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
17,56785,Brook Trout,Salvelinus,fontinalis,33.0,405.8,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_SCCP,16.57913,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
18,60799,Brook Trout,Salvelinus,fontinalis,39.0,591.0,F,ADS,1.0,2013-09-30,2013,Kejimkujik Lake,Kejimkujik Lake Basin,44.40583,-65.22583,NS,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",94.6,,1,2018-04-03,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
19,60799,Brook Trout,Salvelinus,fontinalis,39.0,591.0,F,ADS,1.0,2013-09-30,2013,Kejimkujik Lake,Kejimkujik Lake Basin,44.40583,-65.22583,NS,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",5.0,BDL,1,2018-04-03,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5.0,,NLET,B_ChlorinatedAlkanes_ISO
20,60800,Brook Trout,Salvelinus,fontinalis,32.0,235.0,F,ADS,1.0,2013-09-30,2013,Kejimkujik Lake,Kejimkujik Lake Basin,44.40583,-65.22583,NS,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",79.7,,1,2018-02-06,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
21,60800,Brook Trout,Salvelinus,fontinalis,32.0,235.0,F,ADS,1.0,2013-09-30,2013,Kejimkujik Lake,Kejimkujik Lake Basin,44.40583,-65.22583,NS,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",5.0,BDL,1,2018-02-06,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5.0,,NLET,B_ChlorinatedAlkanes_ISO
22,60801,Brook Trout,Salvelinus,fontinalis,29.0,211.6,M,ADS,1.0,2013-09-30,2013,Kejimkujik Lake,Kejimkujik Lake Basin,44.40583,-65.22583,NS,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane      ",145.0,,1,2018-09-12,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
23,60801,Brook Trout,Salvelinus,fontinalis,29.0,211.6,M,ADS,1.0,2013-09-30,2013,Kejimkujik Lake,Kejimkujik Lake Basin,44.40583,-65.22583,NS,WHA,"Chlorinated Alkanes, SC (C10-C13), Total ",19.9,,1,2018-09-12,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5.0,,NLET,B_ChlorinatedAlkanes_ISO
24,60802,Brook Trout,Salvelinus,fontinalis,27.0,153.3,M,IMM,1.0,2013-09-30,2013,Kejimkujik Lake,Kejimkujik Lake Basin,44.40583,-65.22583,NS,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane      ",112.0,,1,2018-09-12,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
25,60802,Brook Trout,Salvelinus,fontinalis,27.0,153.3,M,IMM,1.0,2013-09-30,2013,Kejimkujik Lake,Kejimkujik Lake Basin,44.40583,-65.22583,NS,WHA,"Chlorinated Alkanes, SC (C10-C13), Total ",5.0,BDL,1,2018-09-12,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5.0,,NLET,B_ChlorinatedAlkanes_ISO
26,60803,Brook Trout,Salvelinus,fontinalis,24.5,130.8,F,,2.0,2013-09-30,2013,Kejimkujik Lake,Kejimkujik Lake Basin,44.40583,-65.22583,NS,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane      ",92.4,,1,2018-09-12,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
27,60803,Brook Trout,Salvelinus,fontinalis,24.5,130.8,F,,2.0,2013-09-30,2013,Kejimkujik Lake,Kejimkujik Lake Basin,44.40583,-65.22583,NS,WHA,"Chlorinated Alkanes, SC (C10-C13), Total ",5.0,BDL,1,2018-09-12,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5.0,,NLET,B_ChlorinatedAlkanes_ISO
28,60804,Brook Trout,Salvelinus,fontinalis,21.8,90.1,,,3.0,2013-09-30,2013,Kejimkujik Lake,Kejimkujik Lake Basin,44.40583,-65.22583,NS,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane      ",109.0,,1,2018-09-12,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
29,60804,Brook Trout,Salvelinus,fontinalis,21.8,90.1,,,3.0,2013-09-30,2013,Kejimkujik Lake,Kejimkujik Lake Basin,44.40583,-65.22583,NS,WHA,"Chlorinated Alkanes, SC (C10-C13), Total ",5.0,BDL,1,2018-09-12,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5.0,,NLET,B_ChlorinatedAlkanes_ISO
30,60805,Brook Trout,Salvelinus,fontinalis,17.0,54.3,,,3.0,2013-09-30,2013,Kejimkujik Lake,Kejimkujik Lake Basin,44.40583,-65.22583,NS,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane      ",98.5,,1,2018-09-12,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
31,60805,Brook Trout,Salvelinus,fontinalis,17.0,54.3,,,3.0,2013-09-30,2013,Kejimkujik Lake,Kejimkujik Lake Basin,44.40583,-65.22583,NS,WHA,"Chlorinated Alkanes, SC (C10-C13), Total ",17.5,,1,2018-09-12,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5.0,,NLET,B_ChlorinatedAlkanes_ISO
32,2319,Lake Trout,Salvelinus,namaycush,56.2,2150.0,M,ADS,1.0,1979-07-25,1979,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,262.94961,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
33,2323,Lake Trout,Salvelinus,namaycush,58.8,1983.0,F,ADS,1.0,1979-07-25,1979,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,37.716,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
34,2482,Lake Trout,Salvelinus,namaycush,55.5,2602.0,F,ADS,1.0,1979-08-01,1979,Lake Ontario,Eastern Basin L Ontario,43.83333333,-76.83333333,ON,WHA,Sum_SCCP,41.6697,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
35,2497,Lake Trout,Salvelinus,namaycush,63.2,2836.0,F,ADS,1.0,1979-08-01,1979,Lake Ontario,Eastern Basin L Ontario,43.83333333,-76.83333333,ON,WHA,Sum_SCCP,79.71821,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
36,4996,Lake Trout,Salvelinus,namaycush,56.0,2158.4,M,ADS,1.0,1983-07-12,1983,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,63.57794,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
37,4997,Lake Trout,Salvelinus,namaycush,56.5,1853.0,M,ADS,1.0,1983-07-12,1983,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,157.46604,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
38,5011,Lake Trout,Salvelinus,namaycush,57.5,2157.8,M,ADS,1.0,1983-07-12,1983,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,59.15955,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
39,5012,Lake Trout,Salvelinus,namaycush,65.0,2171.9,M,ADS,1.0,1983-07-12,1983,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,62.95276,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
40,5013,Lake Trout,Salvelinus,namaycush,59.0,2058.4,F,ADS,1.0,1983-07-12,1983,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,114.25111,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
41,8609,Lake Trout,Salvelinus,namaycush,57.5,2294.8,F,ADS,1.0,1988-08-31,1988,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,63.93173,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
42,8629,Lake Trout,Salvelinus,namaycush,58.5,2015.9,M,ADS,1.0,1988-09-01,1988,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,32.92636,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
43,8635,Lake Trout,Salvelinus,namaycush,56.0,2039.0,M,ADS,1.0,1988-09-01,1988,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,169.12277,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
44,8649,Lake Trout,Salvelinus,namaycush,58.0,2082.7,M,ADS,1.0,1988-08-31,1988,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,67.15028,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
45,8652,Lake Trout,Salvelinus,namaycush,59.5,2401.1,M,ADS,1.0,1988-08-31,1988,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,103.0269,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
46,12026,Lake Trout,Salvelinus,namaycush,59.0,2246.0,M,ADS,1.0,1993-07-08,1993,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,442.49965,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
47,12029,Lake Trout,Salvelinus,namaycush,58.0,2301.0,M,ADS,1.0,1993-07-08,1993,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,95.00732,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
48,12037,Lake Trout,Salvelinus,namaycush,59.0,2590.0,M,ADS,1.0,1993-07-08,1993,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,66.12889,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
49,12044,Lake Trout,Salvelinus,namaycush,58.0,2538.0,M,ADS,1.0,1993-07-08,1993,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,10.53532,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
50,12050,Lake Trout,Salvelinus,namaycush,67.0,3053.0,M,ADS,1.0,1993-07-08,1993,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,44.1,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
51,15593,Lake Trout,Salvelinus,namaycush,58.0,1919.4,M,ADS,1.0,1998-09-10,1998,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,21.94772,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
52,15594,Lake Trout,Salvelinus,namaycush,59.0,2040.7,M,ADS,1.0,1998-09-10,1998,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,38.65944,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
53,15607,Lake Trout,Salvelinus,namaycush,56.0,2139.3,M,ADS,1.0,1998-09-10,1998,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,106.65161,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
54,15626,Lake Trout,Salvelinus,namaycush,58.0,1813.0,M,ADS,1.0,1998-09-10,1998,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,22.23196,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
55,15627,Lake Trout,Salvelinus,namaycush,58.0,2058.2,M,ADS,1.0,1998-09-10,1998,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,758.21311,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
56,50422,Lake Trout,Salvelinus,namaycush,69.9,4697.4,F,ADS,1.0,2004-09-22,2004,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,16.18685,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
57,50434,Lake Trout,Salvelinus,namaycush,66.1,3463.9,M,ADS,1.0,2004-09-22,2004,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,12.10697,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
58,50435,Lake Trout,Salvelinus,namaycush,59.6,2701.1,M,ADS,1.0,2004-09-22,2004,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,26.27656,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
59,50436,Lake Trout,Salvelinus,namaycush,63.1,2793.3,M,ADS,1.0,2004-09-22,2004,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,8.55478,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
60,50437,Lake Trout,Salvelinus,namaycush,61.0,3254.4,F,ADS,1.0,2004-09-22,2004,Lake Ontario,Eastern Basin L Ontario,44.08333333,-76.66666667,ON,WHA,Sum_SCCP,23.52152,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Paraffins,NG/G,,,Freshwater Institute,
61,58036,Lake Trout,Salvelinus,namaycush,57.0,2357.7,F,ADS,1.0,2011-07-11,2011,Lake Superior,Thunder Bay L Superior,48.25,-89.0,ON,WHA,Total_MCCP,4.9564,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
62,58036,Lake Trout,Salvelinus,namaycush,57.0,2357.7,F,ADS,1.0,2011-07-11,2011,Lake Superior,Thunder Bay L Superior,48.25,-89.0,ON,WHA,Total_SCCP,10.03894,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
63,58037,Lake Trout,Salvelinus,namaycush,57.3,2046.6,F,ADS,1.0,2011-07-11,2011,Lake Superior,Thunder Bay L Superior,48.25,-89.0,ON,WHA,Total_MCCP,2.53353,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
64,58037,Lake Trout,Salvelinus,namaycush,57.3,2046.6,F,ADS,1.0,2011-07-11,2011,Lake Superior,Thunder Bay L Superior,48.25,-89.0,ON,WHA,Total_SCCP,2.55468,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
65,58038,Lake Trout,Salvelinus,namaycush,49.3,1298.4,F,ADS,1.0,2011-07-11,2011,Lake Superior,Thunder Bay L Superior,48.25,-89.0,ON,WHA,Total_MCCP,4.41141,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
66,58038,Lake Trout,Salvelinus,namaycush,49.3,1298.4,F,ADS,1.0,2011-07-11,2011,Lake Superior,Thunder Bay L Superior,48.25,-89.0,ON,WHA,Total_SCCP,2.44364,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
67,58039,Lake Trout,Salvelinus,namaycush,55.5,1589.0,F,ADS,1.0,2011-07-11,2011,Lake Superior,Thunder Bay L Superior,48.25,-89.0,ON,WHA,Total_MCCP,4.26797,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
68,58039,Lake Trout,Salvelinus,namaycush,55.5,1589.0,F,ADS,1.0,2011-07-11,2011,Lake Superior,Thunder Bay L Superior,48.25,-89.0,ON,WHA,Total_SCCP,8.23788,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
69,58043,Lake Trout,Salvelinus,namaycush,47.0,1081.4,M,ADS,1.0,2011-07-11,2011,Lake Superior,Thunder Bay L Superior,48.25,-89.0,ON,WHA,Total_MCCP,4.17664,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
